# Reference log FIR log L'HCN

Privon15         11.4900   8.02050  
Privon15         11.7100   8.36256  
Privon15         11.6500   8.60950  
Privon15         11.4300   8.09713  
Privon15         11.5100   8.25576  
Privon15         11.0400   7.78116  
Privon15         12.1600   8.72665  
Privon15         11.3000   8.36743  
Privon15         11.6500   8.77581  
Privon15         12.3900   9.06784  
Privon15         11.6000   8.58754  
Privon15         12.0100   9.15205  
Privon15         11.4300   8.49345  
Privon15         11.5600   8.45662  
Privon15         11.2700   8.32573  
Privon15         11.1500   8.12923  
Privon15         11.1500   8.25484  
Privon15         11.6600   8.52639  
Privon15         11.3900   8.46028  
Privon15         11.3500   8.45731  
Privon15         11.1400   8.05588  
Privon15         12.2800   9.29220  
Privon15         11.6200   8.26646  
Privon15         11.4500   8.27464  
Privon15         11.6300   8.42056  
Privon15         11.4900   8.08729  
Privon15         11.1100   8.27723  
Privon15         11.2000   8.26466  
Privon15         11.6500   8.39993  
Privon15         11.1200   8.35250  
Privon15         11.1100   8.07916  
Privon15         11.8100   8.52502  
Privon15         11.3400   8.32671  
Privon15         11.3500   8.39481  
Privon15         11.3800   8.38127  
Privon15         11.1200   8.15738  
Privon15         12.2000   9.14390 
